Country Name,Country Code,Indicator Name,Indicator Code,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Bangladesh,BGD,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1.84614E+11,1.94722E+11,2.07739E+11,2.24509E+11,2.46633E+11,2.7105E+11,2.97978E+11,3.22042E+11,3.40868E+11,3.64054E+11,3.95684E+11,4.29572E+11,4.63397E+11,5.00782E+11,5.39303E+11,5.83983E+11,6.3843E+11,7.05409E+11
Bulgaria,BGR,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,55334810118,60553048408,64870632795,70399752807,78207906676,85994548638,96586488490,1.07361E+11,1.0531E+11,1.10447E+11,1.15193E+11,1.18415E+11,1.2039E+11,1.26667E+11,1.30542E+11,1.38995E+11,1.48228E+11,1.54254E+11
Bahrain,BHR,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,24895020461,26135608990,28297146195,31087560319,34225784434,37541889691,41747721940,45216281392,46718471488,49312543171,51341188465,54276651871,58220833658,61903003409,64356222357,67319842991,71208638548,74239249145
"Bahamas, The",BHS,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,8201690665,8556750414,8605428686,8915122573,9504952548,10039056626,10457854116,10413508690,10054790337,10328477564,10608854836,11146079805,11006866756,11297708532,11486754003,11664185332,11893819216,12374311871
Bosnia and Herzegovina,BIH,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,17842878263,19310167689,20214692237,23340339277,24398065392,27888038434,30811911213,33896807462,33737254855,34637208991,36525637927,37145690831,39027401491,39811454001,41200283032,43425610368,46033486454,48608054272
Belarus,BLR,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,64374339606,68691820128,74895437858,85717983364,96696527087,1.09585E+11,1.22206E+11,1.37291E+11,1.38614E+11,1.51165E+11,1.62623E+11,1.68538E+11,1.73217E+11,1.79541E+11,1.74512E+11,1.71963E+11,1.79669E+11,1.89658E+11
Belize,BLZ,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1443169075,1541053930,1716091081,1844204758,1950675395,2101783560,2182104566,2296376864,2329404856,2436281402,2540960749,2665772854,2735664116,2890341804,3021505268,3036584742,3138777544,3312832025
Bermuda,BMU,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,2757196886,2759419118,2906527654,3054062185,3201918500,3481696993,3676972061,3805767023,3632143704,3597519762,3550019929,3443185262,3415629198,,,,,
Bolivia,BOL,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,30426509156,31676017447,33139065567,35451463293,38172044837,41213738857,44252540610,47887101477,49871994703,52535187415,56423688732,60451415414,65692669036,70590561009,74810796245,78853625517,83723411343,89385174346
Brazil,BRA,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1.64336E+12,1.72033E+12,1.77227E+12,1.92481E+12,2.04832E+12,2.19392E+12,2.3896E+12,2.56018E+12,2.57645E+12,2.80269E+12,2.97495E+12,3.09026E+12,3.23898E+12,3.31689E+12,3.23349E+12,3.1608E+12,3.25514E+12,3.3717E+12
Barbados,BRB,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,3449788641,3531949477,3675804957,3828049961,4103424952,4467239490,4672495917,4806838227,4608125901,4560642301,4618909123,4704350307,4721355516,4802533021,4960911150,5129456131,5217909571,5318374172
Brunei Darussalam,BRN,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,22844964797,24104889135,25265534701,26076585575,26993052436,29032919656,29858910045,29849261766,29546101473,30667228516,32480415591,33405522010,33269086248,33101972265,33266312258,32800933005,33868483280,34711625924
Bhutan,BTN,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1729607730,1947753951,2138741356,2326363145,2574726785,2838554710,3444729112,3675310551,3949661802,4467468530,4920467591,5271474988,5477981871,5830322469,6336595998,6919360906,7351751580,7670628445
Botswana,BWA,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,14359264870,15471720121,16488041520,17390082539,18748860966,20931825267,23273129383,25207603788,23456104459,25761527575,27890347804,29691918902,33640174364,35698845804,35467952449,37398943173,39217868583,41962343770
Central African Republic,CAF,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,2630343346,2768581312,2667787609,2903846564,3021494256,3261451446,3503372377,3644881234,3988049550,4221351630,4490299877,4807698241,3111748557,3173189895,3346218905,3543504884,3774332663,4012783797
Canada,CAN,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,9.33967E+11,9.67559E+11,1.01973E+12,1.0795E+12,1.16758E+12,1.23767E+12,1.29714E+12,1.33906E+12,1.30471E+12,1.36062E+12,1.42747E+12,1.46457E+12,1.55027E+12,1.61756E+12,1.5912E+12,1.62535E+12,1.70728E+12,1.78365E+12
