Country Code,Country Name,Indicator Id,Indicator,Subindicator Type,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
GRC,Greece,32416,Press Freedom Index,Total,5,6,7,4,8,9.25,7.5,9,19,NA,NA,28.46,31.33,31.01,30.35,NA,30.89,29.19
GTM,Guatemala,32416,Press Freedom Index,Total,27.3,30.83,16.5,21.5,21.25,33,22.64,29.5,20.25,NA,NA,29.39,36.61,37.92,38.03,NA,39.33,36.17
GIN,Guinea,32416,Press Freedom Index,Total,26,33.17,24.5,26,27.5,33.5,21.5,28.5,33.5,NA,NA,28.49,31.67,32.56,33.08,NA,33.15,31.9
GNB,Guinea-Bissau,32416,Press Freedom Index,Total,30.3,35.25,23.5,17,14.5,33.5,16.33,23.5,18.25,NA,NA,28.94,30.05,28.7,29.03,NA,30.09,30.09
HTI,Haiti,32416,Press Freedom Index,Total,36.5,31,42.13,33.5,19.5,23.5,15.13,15,16.38,NA,NA,24.09,23.53,25.08,24.66,NA,26.36,26.82
HND,Honduras,32416,Press Freedom Index,Total,,14.17,11.75,18,14.5,25.5,21.5,42,51.13,NA,NA,36.92,37.14,39.27,44.62,NA,43.75,45.23
HKG,"Hong Kong SAR, China",32416,Press Freedom Index,Total,4.8,11,7.5,8.25,14,20,9.75,,,NA,NA,26.16,26.55,27.76,28.5,NA,29.46,29.04
HUN,Hungary,32416,Press Freedom Index,Total,6.5,3.33,6,2,3,4.5,5.5,5.5,7.5,NA,NA,26.09,26.73,27.44,28.17,NA,29.01,29.11
ISL,Iceland,32416,Press Freedom Index,Total,0.5,0.5,0.5,0.5,0.5,0.75,1.5,2,0,NA,NA,8.49,8.5,13.87,15.3,NA,13.03,14.1
IND,India,32416,Press Freedom Index,Total,26.5,39,38.5,27,26.5,39.33,30,29.33,38.75,NA,NA,41.22,40.34,40.49,43.17,NA,42.94,43.24
IDN,Indonesia,32416,Press Freedom Index,Total,20,34.25,37.75,26,26,30.5,27,28.5,35.83,NA,NA,41.05,38.15,40.75,41.72,NA,39.93,39.68
IRN,"Iran, Islamic Rep.",32416,Press Freedom Index,Total,48.3,89.33,78.3,89.17,90.88,96.5,80.33,104.14,94.56,NA,NA,73.4,72.29,72.32,66.52,NA,65.12,60.71
IRQ,Iraq,32416,Press Freedom Index,Total,79,37.5,58.5,67,66.83,67.83,59.38,53.3,45.58,NA,NA,44.67,45.44,47.76,54.35,NA,54.03,56.56
IRL,Ireland,32416,Press Freedom Index,Total,1,2.83,0.5,0.5,0.5,2,2,0,2,NA,NA,10.06,10.87,11.2,12.4,NA,14.08,14.59
ISR,Israel,32416,Press Freedom Index,Total,30,8,8,10,12,13.25,8.83,23.75,,NA,NA,32.97,31.19,32.09,32.58,NA,31.01,30.26
ITA,Italy,32416,Press Freedom Index,Total,11,9.75,9,8.67,9.9,11.25,8.42,12.14,15,NA,NA,26.11,23.75,27.94,28.93,NA,26.26,24.12
